тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
fundType;programCode;programCodeName;yearBeginPlan;yearCorrectionPlan;periodCorrectionPlan;openAllocPeriod;directedAllocPeriod;periodDone;deviationToPeriodCorrectionPlan;percentDoneToPeriodCorrectionPlan;percentDoneToYearCorrectionPlan
;0000;РАЗОМ;3037013112900;3264977022644.92;;;;2705423311855.97;;;82.86
TOTAL;0110000;Апарат Верховної Ради України;3008977400;2482606070.84;;;;2360123546;;;95.06
TOTAL;0111000;Апарат Верховної Ради України;3008977400;2482606070.84;;;;2360123546;;;95.06
TOTAL;0111010;Здійснення законотворчої діяльності Верховної Ради України;1275244300;1083179693.82;;;;996373271.29;;;91.98
TOTAL;0111020;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України;1326365300;1176795377.02;;;;1145647806;;;97.35
TOTAL;0111090;"Висвітлення діяльності Верховної Ради України через засоби телебачення і радіомовлення та фінансова підтримка видання газети ""Голос України""";407367800;222631000;;;;218102468.71;;;97.96
TOTAL;0300000;Державне управління справами;2873758900;3019705242.87;;;;2806477262.12;;;92.93
TOTAL;0301000;Апарат Державного управління справами;2829962400;2980823942.87;;;;2768886480.11;;;92.88
TOTAL;0301010;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Офісу Президента України;1093005000;878131850.94;;;;852082646.33;;;97.03
TOTAL;0301050;Виготовлення державних нагород та пам'ятних знаків;23613700;184344100;;;;181532645;;;98.47
TOTAL;0301060;Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення;180039900;77335916;;;;72319919.92;;;93.51
TOTAL;0301080;Наукова і науково-технічна діяльність у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і з питань посередництва та примирення при вирішенні колективних трудових спорів (конфліктів);96623400;79916763.64;;;;78127269.05;;;97.76
TOTAL;0301130;Підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики;2389800;794100;;;;770654.17;;;97.04
TOTAL;0301140;Збереження природно-заповідного фонду в національних природних парках та заповідниках;138692600;125091828.19;;;;113333244.39;;;90.6
TOTAL;0301170;Надання медичних послуг медичними закладами;1168627700;1354121089.1;;;;1313701357.09;;;97.01
TOTAL;0301360;Фінансова підтримка закладів культури і мистецтва;73191300;65872200;;;;65662466.44;;;99.68
TOTAL;0301460;Виплата Державних премій України;3779000;2901100;;;;2779000;;;95.79
TOTAL;0301520;Модернізація цифрових інформаційно-аналітичних систем;50000000;0;;;;0;;;
TOTAL;0301700;Кошти для Державного управління справами;0;1834295;;;;1834294.23;;;99.99
TOTAL;0301710;Виконання державних заходів в умовах воєнного стану;0;209930700;;;;86192983.49;;;41.05
TOTAL;0301720;Ліквідація наслідків ракетних обстрілів м.Києва, які сталися 10 жовтня 2022 р. та відновлення пошкоджених об'єктів в умовах воєнного стану;0;550000;;;;550000;;;100
TOTAL;0304000;Національна служба посередництва і примирення України;43796500;38881300;;;;37590782.01;;;96.68
TOTAL;0304010;Сприяння врегулюванню колективних трудових спорів (конфліктів);43796500;38881300;;;;37590782.01;;;96.68
TOTAL;0410000;Господарсько-фінансовий департамент Секретаріату Кабінету Міністрів України;4944134800;8315647386.32;;;;7443101101.01;;;89.5
TOTAL;0411000;Секретаріат Кабінету Міністрів України;1346223300;1131956935.83;;;;997504538.77;;;88.12
TOTAL;0411010;Обслуговування та організаційне, інформаційно-аналітичне та матеріально-технічне забезпечення діяльності Кабінету Міністрів України;1012015700;845474349.83;;;;787016889.58;;;93.08
TOTAL;0411070;"Фінансова підтримка газети ""Урядовий кур'єр""";62133700;55920300;;;;18238887.07;;;32.61
TOTAL;0411130;Інформаційно-аналітичне та організаційне забезпечення оперативного реагування органів виконавчої влади;129682600;117084386;;;;111814946.7;;;95.49
TOTAL;0411150;Забезпечення розслідування авіаційних подій та інцидентів з цивільними повітряними суднами Національним бюро;28573400;25716100;;;;24262799.35;;;94.34
TOTAL;0411170;Забезпечення функціонування офісу із залучення та підтримки інвестицій;58000000;52200000;;;;38160000;;;73.1
TOTAL;0411190;Заходи з підтримки розвитку лідерства в Україні;15000000;0;;;;0;;;
TOTAL;0411200;Організаційне, матеріально-технічне, інформаційне та інше забезпечення діяльності Національної ради України з питань розвитку науки і технологій;1352900;43300;;;;27032.88;;;62.43
TOTAL;0411240;Функціонування інституції з підтримки та просування експорту;39465000;35518500;;;;17983983.19;;;50.63
TOTAL;0412000;Державна служба України з питань безпечності харчових продуктів та захисту споживачів;0;5780769245.9;;;;5179835755.14;;;89.6
TOTAL;0412010;Керівництво та управління у сфері безпечності харчових продуктів та захисту споживачів;0;2123246122.6;;;;1873086961.07;;;88.21
TOTAL;0412020;Протиепізоотичні заходи та участь у Міжнародному епізоотичному бюро;0;278639800;;;;219574895.58;;;78.8
TOTAL;0412030;Організація та регулювання діяльності установ в системі Державної служби України з питань безпечності харчових продуктів та захисту споживачів;0;3322280923.3;;;;3070271341.65;;;92.41
TOTAL;0412040;Проведення лабораторних випробувань, вимірювань, досліджень та експертизи під час здійснення державного контролю (нагляду);0;56602400;;;;16902556.84;;;29.86
TOTAL;0414000;Державна служба статистики України;1781896200;1156897404.59;;;;1134873745.98;;;98.09
TOTAL;0414010;Керівництво та управління у сфері статистики;1247391100;1130861004.59;;;;1115345232.44;;;98.62
TOTAL;0414020;Статистичні спостереження;516715700;15093900;;;;11539388.24;;;76.45
TOTAL;0414030;Щоквартальна плата домогосподарствам за ведення записів доходів, витрат та інших відомостей під час проведення обстеження умов їх життя;7918700;2058900;;;;0;;;0
TOTAL;0414040;Наукова і науково-технічна діяльність у сфері державної статистики;814100;732700;;;;0;;;0
TOTAL;0414090;Підготовка кадрів у сфері статистики закладом вищої освіти та забезпечення діяльності його баз практики;9056600;8150900;;;;7989125.3;;;98.01
TOTAL;0418000;Комісія з регулювання азартних ігор та лотерей;107186400;96467800;;;;68504418.18;;;71.01
TOTAL;0418010;Керівництво та управління у сфері регулювання азартних ігор та лотерей;107186400;96467800;;;;68504418.18;;;71.01
TOTAL;0419000;Державне агентство України з питань кіно;1708828900;149556000;;;;62382642.94;;;41.71
TOTAL;0419010;Керівництво та управління у сфері кінематографії;33628900;30266000;;;;29452999.09;;;97.31
TOTAL;0419030;Державна підтримка кінематографії;1671100000;115600000;;;;32749643.85;;;28.33
TOTAL;0419060;Гранти Президента України молодим діячам мистецтва для створення і реалізації творчих проектів в сфері кінематографії та премії за видатні досягнення у галузі кінематографії;4100000;3690000;;;;180000;;;4.87
TOTAL;0500000;Державна судова адміністрація України;19035436300;16959087697.57;;;;16320028957.45;;;96.23
TOTAL;0501000;Апарат Державної судової адміністрації України;19035436300;16959087697.57;;;;16320028957.45;;;96.23
TOTAL;0501020;Забезпечення здійснення правосуддя місцевими, апеляційними судами та функціонування органів і установ системи правосуддя;19032436300;16958337697.57;;;;16319278957.45;;;96.23
TOTAL;0501150;Виконання рішень судів на користь суддів та працівників апаратів судів;3000000;750000;;;;750000;;;100
TOTAL;0550000;Верховний Суд;2322104100;1928074592.93;;;;1835771224.54;;;95.21
TOTAL;0551000;Апарат Верховного Суду;2322104100;1928074592.93;;;;1835771224.54;;;95.21
TOTAL;0551010;Здійснення правосуддя Верховним Судом;2322104100;1928074592.93;;;;1835771224.54;;;95.21
TOTAL;0800000;Конституційний Суд України;313797800;282425756.5;;;;262923541.29;;;93.09
TOTAL;0801000;Конституційний Суд України;313797800;282425756.5;;;;262923541.29;;;93.09
