ADMIN1;ADMIN2;FUNC1;2018_EXECUTED;2018_ADJUSTED;2019_EXECUTED;2019_ADJUSTED;2020_EXECUTED;2020_ADJUSTED;2021_EXECUTED;2021_ADJUSTED;2022_EXECUTED;2022_ADJUSTED;2023_EXECUTED;2023_ADJUSTED;2024_EXECUTED;2024_ADJUSTED;2025_EXECUTED;2025_ADJUSTED;2026_EXECUTED;2026_ADJUSTED
Державний бюджет;;;985372548516.41;876950297525;1072891487454.96;979914063543;1288016706161.71;1311320453742.3;1490258911358.77;1478522062323.19;2705423311855.97;3054510062583;4014418147743.01;3487891519699;4486682733858.66;3838627714750;5473577192612.69;4741240291102;658447037096.61;4719110976345
Державний бюджет;Державний бюджет;;985372548516.41;876950297525;1072891487454.96;979914063543;1288016706161.71;1311320453742.3;1490258911358.77;1478522062323.19;2705423311855.97;3054510062583;4014418147743.01;3487891519699;4486682733858.66;3838627714750;5473577192612.69;4741240291102;658447037096.61;4719110976345
Державний бюджет;Державний бюджет;0100 Загальнодержавні функції;461412191226.52;349590165752;428561078743.42;321974089267;324622074259.66;345493859459;409523955882.22;423014710105.19;338802362602.12;389160049721;473524294713.16;526504968892;562239083395.31;595382651687;634766441616.79;716878143396;95987350838.61;892735499733
Державний бюджет;Державний бюджет;0200 Оборона;97023982340.56;93948476960;106627694517.54;104889003250;120374141092.52;118681285563;127527254293.4;123536854104;1142872375839.75;1198379329056;2097620460310.28;1478463722028;2305194662312.77;1639380195657;3069857418255.98;2296033583579;334654490109.03;2049733162973
Державний бюджет;Державний бюджет;0300 Громадський порядок, безпека та судова влада;116803175855.55;116167460186;140060161001.35;139040367506;151804094684.32;151620759736.3;174342068920.49;169763624490;443330304780.86;420119307201;574662999585.86;541506593038;692658704901.22;636159624604;819362262787.05;723263932840;103607175554.98;702812231729
Державний бюджет;Державний бюджет;0400 Економічна діяльність;63679167254.35;72466873424;69553496741.1;80437419060;133587902990.75;120869202040;187686787316.26;166035342126;95368405286.5;330265040152;134263529133.96;184408348223;163133775996.9;184846402436;168746144889.78;202818176464;12949890460.78;188529078450
Державний бюджет;Державний бюджет;0500 Охорона навколишнього природного середовища;5241202036.7;5999381896;6316230226.65;7569061522;43152438996.44;44767021447;8231550505.06;9110341172;4714120529.92;5747992110;5202459061.6;5938138560;9515054562.39;10695807190;10546732506;10765259228;1177501629.16;11573391600
Державний бюджет;Державний бюджет;0600 Житлово-комунальне господарство;296929593.33;413900000;107969576.08;161878000;342592526.56;571049328;164053319.43;364737400;528646771.26;721258591;8369376512.42;8744762000;7540454640.81;8383443406;14985990165.61;17012474466;11955744.88;645637800
Державний бюджет;Державний бюджет;0700 Охорона здоров'я;22637167348.25;20983110130;38561591596.8;38134553800;124874118862.59;130902888100;170505173040.66;169748202100;184267839745.45;192336948600;179310611078.68;176001986818;201445413355.67;204132325092;218840536270.43;218904131636;28930063955.2;253455077700
Державний бюджет;Державний бюджет;0800 Духовний та фізичний розвиток;10107073772.16;10367182005;9966973427.07;10546435400;12119455913.71;13008185500;17162069839.51;20310553432;11051260497.18;12371480549;11765307234.68;12259739408;16027294396.38;16990822289;15797506467.67;16770941685;1752960465.48;20283636800
Державний бюджет;Державний бюджет;0900 Освіта;44306070185.16;43178610500;54488462544.52;55769112200;61701302310.92;64310630793;63837321982.88;63848536373;58500971089.13;67746787412;60452218447.52;66733624632;64738040520.67;67975635220;67260765529.83;74142636424;10116295360.9;116052852760
Державний бюджет;Державний бюджет;1000 Соціальний захист та соціальне забезпечення;163865588903.83;163835136672;218647829080.43;221392143538;315438584524.24;321095571776;331278676258.86;332789161021;425987024713.8;437661869191;469246891664.85;479407126100;464014800318.97;474495916869;453413394123.55;464651011384;69259352977.59;483290406800
Державний бюджет;Державний бюджет;-9 не існує;;;;;;;;;;;0;7922510000;175449457.57;184890300;;;;
Місцеві бюджети;;;744100414096.1;779432024081.91;690252154124.67;737268287656.67;516192199796.34;559860387326.04;597233182964.72;641814789150.75;495583846966.23;638168837385.64;670637635434.66;769033522497.45;701333926953.61;776832000449.19;808652536594.35;877503051190.03;102673645109.23;769565467919.94
Місцеві бюджети;Вінницька обл.;;30703198841.47;31388330251.66;27382797898.56;28799964604.07;19714538072.63;20784329967.64;20880483073.96;21564947763.61;19416776294.29;22613495643.64;26375508274.56;28138940067.93;26809771127.63;27273991033.71;30216115501.11;30862520137.8;4484306243.68;29653253132.92
Місцеві бюджети;Вінницька обл.;0100 Загальнодержавні функції;9328696391.8;9405207298.2;6968482015.07;7595581447.29;3770379649.38;4079013157.49;2931323041.79;3077238345.35;2280702906.66;3085754985;4073607189.67;4841263471.72;4395146830.25;4594344816.23;5710726030.15;6043711045.66;819861765.57;5287303307.67
Місцеві бюджети;Вінницька обл.;0300 Громадський порядок, безпека та судова влада;67370622.94;68855228.47;71092310.33;67430377.83;83097685.99;87635893.82;86905873.92;92332243.74;326700424.49;376461001.35;259996223.59;437917857.19;678656268.33;815006355.78;957301395.69;1006292785.8;103991296.5;1153596189
Місцеві бюджети;Вінницька обл.;0400 Економічна діяльність;2745680682.93;3317590966.27;2935958325.34;3339354561.9;2998699697.59;3345876463.95;3341874230.43;3645028028.67;1816854070.76;3404933652.77;4266913542.55;4914372577.08;2511032875.56;2565823902.26;1927314639.81;2275659546.79;237900201.65;1872886831.72
Місцеві бюджети;Вінницька обл.;0500 Охорона навколишнього природного середовища;167033430.67;217934251.66;137287404.83;174576848.99;47725851.72;149473374.91;110167660.47;152435531.31;32063111.9;57228320.92;51421140.8;62073860.45;25752950.83;59328949.08;43593402.71;54456746.21;655415.46;20647311
Місцеві бюджети;Вінницька обл.;0600 Житлово-комунальне господарство;815831284.98;837790335.34;1197078946.84;1213904866.19;1037871430.46;1056651919.49;1241625964.51;1408576089.45;1298494449.3;1743429153.38;1976744744.61;2103640737.57;1650105987.63;1692934445.68;1908276182.37;2000663228.5;179303619.68;2082635483.42
Місцеві бюджети;Вінницька обл.;0700 Охорона здоров'я;3646182666.32;3453705710.21;3607431510.74;3486827660.77;2076338958.01;2143669020.56;1391447872.53;1253462337.14;1497592129.79;1459653221.65;1760111533.85;1758640252.05;1354879128.84;1352370865.08;1494227259.12;1479727844.61;242604133.44;1517062642.52
Місцеві бюджети;Вінницька обл.;0800 Духовний та фізичний розвиток;762273226.58;771651964.43;897573665.4;907146930.87;866483575.35;876920175.12;962304929.49;962776458.51;1041934254.95;1043091058.18;1213209080.59;1224449677.98;1337986765.64;1346449622.68;1478616943.37;1484851194.52;210175338.28;1566369801
Місцеві бюджети;Вінницька обл.;0900 Освіта;6657063946.15;6766249570.23;7492182258.98;7436210400.16;8044504760.57;8244916073.96;9841394480.15;9997910682.32;9936889815.08;10266130977.9;10992008638.86;11055838947.94;12697906878.64;12720932955.54;14099866520.2;13906259295.82;2399402456;13955306664.89
Місцеві бюджети;Вінницька обл.;1000 Соціальний захист та соціальне забезпечення;6513066589.1;6549344926.85;4075711461.03;4578931510.07;789436463.56;800173888.34;973439020.67;975188047.12;1185545131.36;1176813272.49;1781496180.04;1740742685.95;2158303441.91;2126799121.38;2596193127.69;2610898449.89;290412017.1;2173211141.7
Місцеві бюджети;Вінницька обл.;-9 не існує;;;;;;;;;;;;;;;;;0;24233760
Місцеві бюджети;Волинська обл.;;20762008439.54;22389286704.8;18964053896.74;20494166807.48;12984016451.57;13971048522.06;13915781566.75;14640748921.41;12655610316.45;15018766048.49;17784600993.45;19418507025.59;18206184628.69;19445091797;20525290832.05;21883256201.04;3105716715.76;20156365476.73
Місцеві бюджети;Волинська обл.;0100 Загальнодержавні функції;6447550228.54;6696909896.5;5336175400.53;5878834718.52;2380440820.3;2537491671.78;2040156683.28;2171657887.53;1755477985.81;2309727792.75;3279141892.21;3693109377.44;2823218405.06;2987224695.16;3565144986.74;3806289709.36;496591338.95;3187738588.9
